WND
"290,5,N,0067,5"
"290,5,N,0067,5"
"270,5,N,0072,5"
"270,5,N,0051,5"
"280,5,N,0046,5"
"290,5,N,0026,5"
"290,1,N,0026,1"
"280,5,N,0057,5"
"999,9,9,9999,9"
"300,5,N,0057,5"
"340,5,V,0041,5"
"300,5,N,0041,5"
"350,5,N,0041,5"
"320,5,N,0046,5"
"320,1,N,0046,1"
"310,5,N,0046,5"
"310,5,N,0046,5"
"320,5,N,0046,5"
"150,5,N,0021,5"
"360,5,N,0015,5"
"310,5,N,0031,5"
"310,1,N,0031,1"
"330,5,N,0026,5"
"290,5,N,0031,5"
"310,5,N,0051,5"
"320,5,N,0046,5"
"310,5,N,0036,5"
"270,5,N,0026,5"
"270,1,N,0026,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"310,5,N,0015,5"
"999,9,C,0000,5"
"340,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"150,5,N,0015,5"
"999,9,9,9999,9"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"160,5,N,0015,5"
"340,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"250,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"200,5,N,0021,5"
"200,5,N,0021,5"
"240,5,N,0021,5"
"240,5,N,0021,5"
"330,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"330,5,N,0015,5"
"999,9,C,0000,5"
"250,5,N,0015,5"
"280,5,N,0021,5"
"280,5,N,0015,5"
"280,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"250,5,N,0026,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"040,5,N,0015,5"
"020,5,N,0015,5"
"340,5,N,0021,5"
"360,5,N,0015,5"
"290,5,N,0021,5"
"280,5,N,0026,5"
"300,5,N,0026,5"
"300,1,N,0026,1"
"999,9,C,0000,5"
"070,5,N,0021,5"
"140,5,N,0021,5"
"999,9,9,9999,9"
"999,9,C,0000,5"
"100,5,N,0021,5"
"350,5,N,0021,5"
"360,5,N,0015,5"
"030,5,N,0015,5"
"020,5,N,0015,5"
"010,5,N,0015,5"
"999,9,C,0000,5"
"090,5,N,0021,5"
"090,1,N,0021,1"
"999,9,C,0000,5"
"080,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"120,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"190,5,N,0021,5"
"150,5,N,0015,5"
"120,5,N,0015,5"
"999,9,C,0000,5"
"170,5,N,0021,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"080,5,N,0015,5"
"090,5,N,0021,5"
"999,9,C,0000,5"
"300,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"280,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"090,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"999,9,9,9999,9"
"999,9,N,9999,9"
"310,5,N,0026,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"200,5,N,0031,5"
"200,1,N,0031,1"
"999,9,C,0000,5"
"210,5,N,0015,5"
"999,9,C,0000,5"
"240,5,N,0015,5"
"310,5,N,0015,5"
"300,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"120,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"040,5,N,0015,5"
"040,5,N,0021,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"270,5,N,0021,5"
"999,9,C,0000,5"
"270,5,N,0015,5"
"270,1,N,0015,1"
"310,5,N,0021,5"
"270,5,N,0015,5"
"230,5,N,0026,5"
"260,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"300,5,N,0015,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"180,5,N,0026,5"
"180,5,N,0026,5"
"090,5,N,0026,5"
"080,5,N,0015,5"
"110,5,N,0021,5"
"110,5,N,0021,5"
"220,5,N,0021,5"
"250,5,N,0046,5"
"250,1,N,0046,1"
"200,5,N,0015,5"
"999,9,C,0000,5"
"340,5,N,0026,5"
"350,5,N,0036,5"
"320,5,N,0036,5"
"280,5,N,0057,5"
"280,1,N,0057,1"
"320,5,N,0036,5"
"999,9,9,9999,9"
"310,5,N,0057,5"
"310,5,N,0062,5"
"310,5,N,0051,5"
"360,5,N,0026,5"
"350,5,N,0031,5"
"350,1,N,0031,1"
"350,5,N,0031,5"
"340,5,N,0031,5"
"340,5,N,0031,5"
"170,5,N,0021,5"
"999,9,C,0000,5"
"999,9,C,0000,5"
"999,9,C,0000,1"
"999,9,C,0000,5"
"170,5,N,0015,5"
"999,9,C,0000,5"
"160,5,N,0021,5"
"180,5,N,0021,5"
"250,5,N,0015,5"
